teamid=172, name=iaqAzXFUe, teamCreationTime=2016-05-29T04:38:19, teamEndTime=9999-12-31T23:59:59, strength=0.283660390845, currentLevel=1
teamid=64, name=u4rHffnX, teamCreationTime=2016-06-02T05:40:17, teamEndTime=9999-12-31T23:59:59, strength=0.00959039796428, currentLevel=1
teamid=78, name=RIladH, teamCreationTime=2016-06-02T08:02:27, teamEndTime=9999-12-31T23:59:59, strength=0.911607373684, currentLevel=1
teamid=106, name=7ii9WEBuU02, teamCreationTime=2016-06-02T10:45:30, teamEndTime=9999-12-31T23:59:59, strength=0.782108891923, currentLevel=1
teamid=5, name=gL80BtFOAt, teamCreationTime=2016-06-02T12:20:23, teamEndTime=9999-12-31T23:59:59, strength=0.419818157501, currentLevel=1
teamid=115, name=0GHE982X1T, teamCreationTime=2016-06-02T12:38:04, teamEndTime=9999-12-31T23:59:59, strength=0.264385946751, currentLevel=1
teamid=50, name=UO16kxSL0Ah, teamCreationTime=2016-06-02T12:57:56, teamEndTime=9999-12-31T23:59:59, strength=0.202628866528, currentLevel=1
teamid=136, name=AQI4E68F0r, teamCreationTime=2016-06-02T13:04:57, teamEndTime=9999-12-31T23:59:59, strength=0.74264043226, currentLevel=1
teamid=92, name=PwTsDsoX, teamCreationTime=2016-06-02T15:07:55, teamEndTime=9999-12-31T23:59:59, strength=0.00839479536575, currentLevel=1
teamid=192, name=X7jXatwa, teamCreationTime=2016-06-02T15:22:44, teamEndTime=9999-12-31T23:59:59, strength=0.142971429561, currentLevel=1
teamid=119, name=mrdss72, teamCreationTime=2016-06-02T15:23:18, teamEndTime=9999-12-31T23:59:59, strength=0.239312874556, currentLevel=1
teamid=60, name=lX77h6a, teamCreationTime=2016-06-02T16:22:10, teamEndTime=9999-12-31T23:59:59, strength=0.611697584588, currentLevel=1
teamid=101, name=woknZZqW, teamCreationTime=2016-06-02T16:28:54, teamEndTime=9999-12-31T23:59:59, strength=0.460819824141, currentLevel=1
teamid=183, name=CiOMVuK7Ajs, teamCreationTime=2016-06-02T16:45:19, teamEndTime=9999-12-31T23:59:59, strength=0.308479369482, currentLevel=1
teamid=190, name=fTHPW5b8akq, teamCreationTime=2016-06-02T17:41:39, teamEndTime=9999-12-31T23:59:59, strength=0.660760880581, currentLevel=1
teamid=69, name=oLlGYp75ucu, teamCreationTime=2016-06-02T19:12:15, teamEndTime=9999-12-31T23:59:59, strength=0.527447878094, currentLevel=1
teamid=36, name=EV3rqcpOF, teamCreationTime=2016-06-02T19:12:55, teamEndTime=9999-12-31T23:59:59, strength=0.171897619018, currentLevel=1
teamid=163, name=cIJwvDj, teamCreationTime=2016-06-02T20:05:06, teamEndTime=9999-12-31T23:59:59, strength=0.244226600681, currentLevel=1
teamid=168, name=eYhWoGbbA, teamCreationTime=2016-06-02T20:14:54, teamEndTime=9999-12-31T23:59:59, strength=0.783388528341, currentLevel=1
teamid=103, name=9BdHTkxSjw, teamCreationTime=2016-06-02T21:35:38, teamEndTime=9999-12-31T23:59:59, strength=0.987837989842, currentLevel=1
teamid=210, name=bc06jTtff, teamCreationTime=2016-06-09T06:33:05, teamEndTime=2016-06-10T02:03:05, strength=0.867758333541, currentLevel=1
teamid=225, name=rIAsfAVePk, teamCreationTime=2016-06-14T20:33:05, teamEndTime=2016-06-15T04:03:05, strength=0.0894979741932, currentLevel=1
teamid=231, name=xYbTwFX19OQ, teamCreationTime=2016-06-16T08:33:05, teamEndTime=2016-06-17T16:33:05, strength=0.557768215835, currentLevel=1
teamid=238, name=N7WoLw9T, teamCreationTime=2016-06-20T07:03:05, teamEndTime=2016-06-20T09:33:05, strength=0.722621488626, currentLevel=1
teamid=237, name=rjJSYX4DKO, teamCreationTime=2016-06-19T13:03:05, teamEndTime=2016-06-20T14:33:05, strength=0.471865555277, currentLevel=1
teamid=240, name=hX8ljAF, teamCreationTime=2016-06-21T13:03:05, teamEndTime=2016-06-21T17:03:05, strength=0.278960404574, currentLevel=1
teamid=241, name=jwQCd5X, teamCreationTime=2016-06-21T19:33:05, teamEndTime=2016-06-22T02:33:05, strength=0.980642131646, currentLevel=1
teamid=239, name=o6NEpB, teamCreationTime=2016-06-20T16:33:05, teamEndTime=2016-06-23T04:03:05, strength=0.942597031468, currentLevel=1
teamid=245, name=whqYLlUD, teamCreationTime=2016-06-24T04:33:05, teamEndTime=2016-06-24T19:03:05, strength=0.70585362107, currentLevel=1
teamid=242, name=dJ3Ovi, teamCreationTime=2016-06-22T00:03:05, teamEndTime=2016-06-26T01:33:05, strength=0.230156872903, currentLevel=1
